numero_conteneur,numero_plombage,bruit_fond_debit_nsvh,bruit_fond_cps,interieur_conteneur_debit_nsvh,interieur_conteneur_cps,exterieur_conteneur_debit_nsvh,exterieur_conteneur_cps,apres_plombage_conteneur_debit_nsvh,apres_plombage_conteneur_cps,dose_gamma_chargement_debit_nsvh,dose_gamma_chargement_cps,contamination
CT0053,PL628178,69.91,1.97,68.9,2.16,67.76,1.99,70.61,1.91,80.4,0.98,1
CT1841,PL813135,74.35,1.42,74.85,1.69,75.92,1.47,78.29,1.42,54.9,1.22,0
CT1462,PL776926,65.88,1.78,68.53,1.74,65.63,1.87,64.06,1.79,82.4,1.19,1
CT4248,PL232212,73.86,1.64,71.07,1.61,73.27,1.65,71.52,1.72,39.0,0.71,0
CT4188,PL509064,69.25,1.84,69.99,1.94,67.42,1.7,71.64,1.85,85.97,1.27,1
CT3920,PL981506,47.4,0.69,45.18,0.64,47.73,0.57,47.39,0.72,59.28,0.69,1
CT3014,PL356553,87.87,1.15,85.4,1.33,90.0,1.33,90.63,1.16,89.94,1.99,0
CT1157,PL625893,47.27,0.81,48.1,0.71,48.8,0.77,45.44,0.86,84.46,0.64,1
CT2653,PL332601,77.35,1.9,79.12,2.11,76.79,1.75,78.64,1.8,39.95,0.91,0
CT1379,PL913738,45.26,1.39,45.29,1.28,44.87,1.56,41.85,1.49,59.24,1.58,1
CT0666,PL631831,30.95,0.8,33.86,0.82,30.12,0.99,30.92,0.83,69.53,1.01,1
CT1389,PL938761,52.29,0.51,51.74,0.54,54.79,0.73,52.45,0.59,41.3,0.99,0
CT2702,PL486601,74.21,0.78,74.98,0.93,74.09,0.85,72.75,0.75,41.11,1.95,0
CT1405,PL384260,49.54,1.35,48.85,1.32,48.04,1.31,49.79,1.41,47.71,1.16,0
CT0430,PL477812,76.46,1.3,76.44,1.13,79.45,1.26,76.86,1.25,88.78,1.23,1
CT3312,PL424683,54.39,0.53,56.1,0.41,55.49,0.37,53.83,0.57,82.95,1.76,1
CT1766,PL349321,49.57,0.59,52.03,0.69,51.03,0.59,48.64,0.5,62.47,0.66,1
CT2366,PL505804,30.57,1.32,33.05,1.18,30.67,1.29,33.62,1.52,34.7,1.08,0
CT1169,PL518034,31.1,1.89,32.55,2.02,32.94,1.91,30.82,2.0,45.51,1.05,1
CT2545,PL860674,30.44,0.84,30.68,0.95,29.48,0.86,28.92,0.92,86.16,1.31,1
CT2464,PL148320,31.94,0.58,30.98,0.67,32.42,0.79,30.11,0.64,36.13,0.5,0
CT1723,PL243326,40.63,0.84,42.74,0.71,40.44,0.74,40.98,0.96,86.28,0.79,1
CT2372,PL444333,49.75,1.11,49.28,1.19,50.96,1.04,52.07,1.1,59.62,1.34,1
CT0757,PL139081,89.78,0.64,89.79,0.69,91.41,0.6,85.61,0.71,58.97,1.85,0
CT1765,PL137265,48.38,1.06,51.02,1.08,47.19,0.9,50.65,1.02,85.34,1.13,1
CT4001,PL313981,34.18,1.76,36.07,1.78,30.74,1.83,33.54,1.73,81.04,1.3,1
CT1511,PL997336,32.49,0.71,33.57,0.58,31.85,0.65,31.02,0.64,77.59,1.9,1
CT1713,PL660696,84.71,1.87,84.46,1.66,86.8,1.65,89.02,1.84,61.2,0.48,0
CT4093,PL437913,52.12,1.54,49.7,1.68,53.18,1.51,51.0,1.41,56.16,1.2,0
CT2198,PL294555,54.25,1.47,58.54,1.41,50.83,1.61,53.21,1.61,67.33,1.55,1
CT2220,PL424912,60.92,1.07,61.33,0.9,62.67,0.9,61.24,1.0,55.43,1.74,0
CT3771,PL384154,82.55,1.81,81.05,1.76,82.97,1.77,82.11,2.0,77.32,1.58,0
CT3513,PL832303,50.18,1.09,46.87,1.05,45.69,0.91,47.1,0.84,67.98,1.25,1
CT4103,PL533819,66.4,0.73,65.27,0.75,62.42,0.88,67.63,0.73,55.82,1.79,0
CT1885,PL698069,48.88,1.53,46.52,1.4,51.31,1.5,51.82,1.54,89.81,1.13,1
CT1256,PL143925,43.54,0.81,41.19,0.71,40.44,0.79,44.13,0.92,65.08,0.59,1
CT2965,PL293718,65.86,1.57,66.46,1.47,67.28,1.52,71.25,1.51,69.95,1.21,0
CT1994,PL716529,50.57,1.89,49.55,1.88,49.64,1.74,46.77,1.88,72.21,1.23,1
CT2321,PL915858,77.74,0.99,75.98,0.88,77.28,0.98,79.55,0.95,35.5,1.02,0
CT4675,PL284626,59.35,0.48,57.21,0.55,57.87,0.42,59.69,0.5,51.54,1.12,0
CT0626,PL104000,79.6,0.65,78.03,0.67,82.46,0.58,83.31,0.69,61.32,1.77,0
CT1921,PL388075,69.28,0.77,71.53,0.83,66.89,0.67,67.84,0.91,60.2,1.43,0
CT3914,PL784393,74.86,0.67,74.11,0.59,71.87,0.69,76.67,0.64,49.31,1.4,0
CT4112,PL826802,48.58,1.47,49.41,1.38,45.89,1.34,46.37,1.46,81.73,1.38,1
CT3197,PL895326,44.06,1.4,46.4,1.29,43.48,1.38,44.69,1.33,81.25,0.97,1
CT1346,PL114382,59.96,1.6,59.43,1.51,62.93,1.41,59.03,1.59,31.01,0.98,0
CT2038,PL872800,62.68,1.86,62.44,1.92,61.14,1.82,60.32,1.57,34.21,1.87,0
CT0956,PL686165,75.0,1.73,72.27,1.88,70.62,1.84,78.67,1.64,80.2,0.47,0
CT4476,PL420752,46.97,0.39,46.77,0.43,48.65,0.33,51.9,0.5,79.85,0.46,1
CT2872,PL262624,82.11,1.15,83.54,1.25,81.3,1.15,81.79,1.09,67.39,0.5,0
CT2297,PL683609,67.73,1.42,64.2,1.5,67.46,1.4,66.21,1.36,46.2,0.54,0
CT4655,PL523332,53.56,1.45,53.93,1.49,53.58,1.56,53.0,1.54,49.94,1.58,0
CT1692,PL997048,78.72,1.65,81.01,1.57,76.8,1.77,78.81,1.64,36.55,1.17,0
CT2421,PL260928,34.46,1.37,33.32,1.45,33.18,1.31,38.14,1.35,66.66,1.7,1
CT4814,PL297227,64.02,0.41,66.18,0.45,59.58,0.4,58.68,0.54,62.08,1.74,0
CT4237,PL551558,83.47,1.93,81.08,1.83,85.21,1.94,86.85,2.03,62.33,0.61,0
CT1410,PL905688,55.36,0.77,56.89,0.75,56.99,0.7,58.43,0.75,34.29,0.89,0
CT1598,PL413837,49.12,0.42,49.34,0.39,48.86,0.49,47.86,0.49,36.52,0.73,0
CT1560,PL187955,56.04,0.88,55.96,0.7,59.15,0.71,57.02,0.93,53.32,1.78,0
CT0355,PL837378,81.44,0.88,82.89,1.01,83.53,0.77,79.71,0.78,65.43,1.76,0
CT2846,PL291703,56.9,0.41,54.51,0.34,60.98,0.37,59.83,0.46,43.29,1.32,0
CT3941,PL365972,55.92,0.96,53.2,0.97,60.21,0.9,59.19,1.19,40.61,0.71,0
CT2070,PL332732,31.33,0.56,31.52,0.68,30.06,0.52,33.93,0.44,78.43,0.75,1
CT2151,PL877147,83.6,1.55,85.79,1.67,84.79,1.54,80.11,1.36,71.58,1.6,0
CT4304,PL672744,81.26,1.77,80.01,1.79,79.5,1.96,84.1,1.82,62.0,1.01,0
CT2062,PL717394,87.73,1.72,85.14,1.84,84.3,1.62,90.11,1.9,66.71,1.63,0
CT2432,PL296733,70.78,1.95,69.91,2.08,68.34,2.02,71.13,1.96,77.79,1.58,0
CT3781,PL153909,78.18,0.64,75.69,0.7,74.83,0.65,79.29,0.74,38.44,0.62,0
CT0538,PL494366,86.4,0.87,89.4,0.97,87.9,0.79,88.64,0.8,47.48,1.32,0
CT1417,PL767054,50.51,1.74,48.41,1.68,48.89,1.8,48.36,1.83,43.62,1.52,0
CT1837,PL265873,46.47,1.46,51.76,1.7,46.66,1.44,47.49,1.59,38.83,0.84,0
CT2644,PL621998,88.17,1.43,87.14,1.33,92.65,1.45,86.23,1.51,82.4,0.39,0
CT1980,PL673996,64.55,0.71,62.48,0.68,64.89,0.85,63.21,0.67,82.03,1.21,1
CT3020,PL263856,36.03,0.78,35.31,0.81,38.12,0.85,36.7,0.93,77.45,0.53,1
CT0551,PL287628,63.28,1.48,60.02,1.55,61.24,1.55,64.26,1.66,77.24,1.79,1
CT2694,PL893853,36.15,0.89,37.63,0.7,32.26,1.03,36.05,0.85,76.67,1.81,1
CT3194,PL166912,46.91,1.95,49.75,2.01,47.86,2.09,45.28,1.82,83.69,1.82,1
CT2408,PL821864,45.76,0.49,47.5,0.28,46.09,0.48,46.75,0.52,63.35,1.83,1
CT0775,PL494540,81.39,1.49,79.87,1.29,82.04,1.36,80.34,1.39,77.24,1.15,0
CT2172,PL777164,57.41,0.93,55.45,0.83,58.63,1.05,57.88,0.96,46.45,0.37,0
CT3508,PL623375,74.12,1.34,68.45,1.43,75.0,1.41,74.82,1.31,41.49,1.57,0
CT2378,PL119816,61.29,1.93,61.09,2.07,60.55,1.93,65.27,1.96,70.59,0.5,1
CT1525,PL779520,56.22,0.79,56.47,0.67,57.0,0.69,51.09,0.74,45.0,1.25,0
CT0330,PL217796,54.88,0.37,52.81,0.18,53.0,0.46,57.39,0.43,71.1,0.45,1
CT0653,PL437497,46.92,1.48,45.34,1.39,47.93,1.44,48.47,1.39,81.12,1.12,1
CT4214,PL971808,65.04,0.91,63.06,0.86,65.16,0.79,63.41,0.89,66.96,0.96,0
CT1253,PL872608,53.04,0.91,54.3,0.87,53.09,0.96,48.85,0.8,78.63,1.26,1
CT4930,PL208946,54.67,1.22,55.67,1.28,54.22,1.23,57.14,1.28,49.36,1.15,0
CT4698,PL149067,82.85,1.89,81.34,1.84,83.98,1.96,82.18,1.84,88.68,0.62,0
CT3040,PL521818,54.48,0.93,51.39,0.95,53.98,0.91,54.49,0.87,88.56,1.46,1
CT0795,PL764795,65.98,1.59,69.87,1.61,69.25,1.49,68.85,1.6,79.47,1.37,1
CT1861,PL752589,49.55,1.71,49.85,1.8,45.41,1.69,50.7,1.8,78.0,1.6,1
CT1688,PL493276,53.9,0.45,53.69,0.43,58.02,0.42,56.18,0.6,44.42,0.81,0
CT4585,PL715175,42.76,1.86,43.74,1.82,43.56,1.86,45.22,2.0,34.28,1.17,0
CT2904,PL659550,31.11,0.78,31.6,0.73,33.55,0.85,27.56,0.66,55.89,0.55,1
CT2492,PL894557,65.98,1.36,65.02,1.5,66.16,1.25,67.4,1.5,85.69,0.49,1
CT3858,PL560796,66.64,1.82,68.59,1.99,71.42,1.67,69.69,1.91,81.42,1.96,1
CT0457,PL493002,61.72,1.95,59.43,1.91,63.13,2.08,60.57,1.97,62.77,1.57,0
CT0434,PL840674,48.41,0.38,45.9,0.33,51.48,0.46,43.93,0.36,63.31,0.84,1
CT1244,PL227309,63.26,1.41,65.32,1.45,60.99,1.44,60.8,1.41,59.63,1.13,0
CT4654,PL486721,47.56,1.65,48.22,1.51,50.09,1.72,45.78,1.92,70.12,0.46,1
CT2577,PL159182,36.26,1.73,36.07,1.62,36.05,1.87,36.16,1.56,79.61,1.95,1
CT4109,PL848736,83.65,1.86,84.21,1.81,83.63,1.9,84.39,1.88,55.24,1.49,0
CT3848,PL982430,84.91,0.5,85.5,0.6,83.78,0.42,84.17,0.48,89.8,1.43,0
CT1575,PL220674,34.15,0.53,33.03,0.57,32.72,0.53,34.21,0.69,63.2,1.54,1
CT1843,PL885332,78.9,1.64,77.51,1.64,75.63,1.77,81.68,1.62,43.07,0.71,0
CT0047,PL691723,81.03,1.8,81.91,1.78,81.39,1.87,81.14,1.95,81.35,0.83,0
CT1977,PL777894,41.96,0.82,38.95,0.81,43.97,0.97,39.82,0.94,55.68,0.99,1
CT4117,PL888443,73.96,0.4,72.82,0.62,72.17,0.5,73.26,0.21,33.36,1.66,0
CT3147,PL392985,78.33,1.05,77.96,1.09,80.27,1.03,77.87,0.95,36.3,1.18,0
CT4779,PL848778,73.14,0.71,73.93,0.67,74.18,0.74,73.72,0.81,78.31,1.7,0
CT3899,PL379713,63.89,1.51,64.66,1.54,63.86,1.59,62.36,1.67,74.25,0.84,1
CT3985,PL758681,59.0,0.75,56.17,0.82,60.62,1.07,57.92,0.76,69.53,0.75,1
CT1957,PL884108,67.15,0.91,64.79,0.73,67.21,0.96,68.53,0.98,73.55,0.85,0
CT3922,PL173869,53.26,1.12,51.13,1.11,52.73,1.06,51.68,1.14,37.22,1.68,0
CT3747,PL150939,38.99,0.64,40.2,0.43,40.39,0.63,40.48,0.55,33.34,1.99,0
CT4777,PL667815,40.16,1.37,41.12,1.27,40.82,1.36,39.22,1.51,84.52,1.56,1
CT0419,PL920260,30.88,1.84,32.86,1.86,31.74,1.8,32.64,1.97,77.77,1.71,1
CT3264,PL633884,39.57,1.28,37.06,1.04,41.94,1.08,38.91,1.41,43.08,1.85,0
CT0443,PL866577,73.46,1.16,73.09,1.14,73.78,1.23,78.58,1.13,60.35,1.19,0
CT0852,PL965291,59.15,1.68,59.61,1.78,60.33,1.62,57.07,1.56,71.41,1.3,1
CT0479,PL368799,81.49,1.13,85.4,1.27,79.4,1.1,85.21,1.17,51.41,1.81,0
CT4615,PL904631,77.36,1.86,78.2,1.95,77.14,1.87,80.82,1.85,49.78,1.64,0
CT3763,PL364803,32.5,1.99,36.21,2.26,31.92,1.93,27.43,1.93,67.62,1.89,1
CT4989,PL525468,54.93,0.91,56.58,0.73,54.88,0.97,54.34,0.97,76.84,0.88,1
CT3531,PL897232,72.82,0.55,75.75,0.45,70.5,0.44,76.9,0.61,82.14,0.73,1
CT0085,PL441097,82.76,1.94,86.82,1.79,81.2,2.0,86.99,1.84,66.25,1.57,0
CT1623,PL816756,53.08,0.73,51.47,0.82,53.42,0.68,49.98,0.81,49.43,1.62,0
CT1877,PL161665,88.65,1.42,90.36,1.49,83.35,1.28,87.89,1.53,42.83,0.69,0
CT2400,PL560494,77.11,1.04,72.72,0.86,76.06,1.15,80.17,0.91,84.95,0.74,1
CT2166,PL969741,40.78,1.22,41.99,1.15,40.18,1.26,38.31,1.27,58.87,0.54,1
CT0976,PL585450,57.88,0.37,56.29,0.16,57.23,0.33,61.55,0.44,68.18,1.09,1
CT3798,PL310294,44.67,0.47,43.53,0.41,43.44,0.37,44.65,0.43,76.18,0.76,1
CT2043,PL954321,33.75,0.94,33.33,1.01,33.32,0.95,36.35,1.09,86.82,0.91,1
CT3633,PL477501,50.18,0.48,45.61,0.59,52.46,0.5,50.33,0.6,65.13,0.39,1
CT0834,PL359747,77.05,1.56,72.51,1.48,77.97,1.5,74.36,1.58,47.99,0.53,0
CT3260,PL516978,48.16,1.04,47.33,1.18,46.3,1.02,48.51,0.83,81.27,0.62,1
CT0767,PL389106,71.74,1.33,71.24,1.38,68.7,1.31,70.12,1.41,59.36,0.74,0
CT0170,PL647707,42.79,1.92,44.55,1.98,45.2,1.83,43.78,2.0,74.05,1.85,1
CT2897,PL308524,53.97,0.63,54.88,0.45,52.98,0.69,54.33,0.67,86.43,1.07,1
CT0395,PL392890,34.2,1.32,32.97,1.15,31.85,1.33,33.37,1.38,89.62,1.32,1
CT3483,PL905878,68.03,1.98,67.3,1.97,68.41,1.95,67.48,2.04,34.46,0.47,0
CT3471,PL162292,40.42,0.87,40.26,0.76,40.83,0.79,40.26,0.86,63.51,0.39,1
CT2306,PL401207,38.0,1.51,35.49,1.58,38.35,1.55,37.75,1.58,48.55,1.37,1
CT1341,PL491182,78.95,1.02,79.7,0.92,74.97,0.97,76.26,1.02,44.25,1.18,0
CT2369,PL807593,79.23,1.67,79.05,1.78,80.71,1.69,78.23,1.66,81.5,0.73,0
CT1555,PL262491,76.14,0.78,72.83,0.82,72.05,0.8,75.9,0.76,31.02,1.45,0
CT2423,PL950610,82.18,0.91,85.21,1.06,81.4,0.9,83.76,1.22,54.84,0.65,0
CT4571,PL676677,33.25,1.0,31.7,1.15,31.65,0.93,34.07,1.04,35.17,1.81,0
CT1304,PL445266,32.89,1.4,33.15,1.49,32.95,1.31,28.83,1.27,51.64,1.94,1
CT3669,PL343051,85.53,0.86,88.16,0.92,85.63,0.85,84.33,1.0,80.69,1.09,0
CT0336,PL798002,42.22,0.95,43.39,0.93,42.38,1.05,41.94,0.9,57.73,1.84,1
CT3607,PL310545,74.83,1.68,70.24,1.61,74.48,1.53,78.92,1.69,51.31,1.51,0
CT3621,PL373349,43.96,0.52,44.79,0.57,40.91,0.53,43.86,0.51,80.19,0.39,1
CT3272,PL822724,59.95,1.4,61.89,1.38,61.45,1.51,62.46,1.4,44.0,0.64,0
CT2371,PL657685,57.4,2.0,55.32,1.96,56.15,2.17,62.17,2.06,57.42,1.67,0
CT1331,PL343322,67.69,0.38,69.07,0.52,65.59,0.48,70.29,0.35,73.27,1.71,0
CT3209,PL974631,73.72,1.92,74.21,1.96,72.82,1.98,73.89,1.94,89.79,1.37,1
CT3484,PL888768,38.43,1.09,33.69,1.16,33.94,1.1,40.05,1.07,87.19,0.9,1
CT3539,PL633571,47.29,1.0,46.83,1.08,50.11,1.07,44.68,0.95,62.83,1.28,1
CT1413,PL808533,83.7,1.98,87.41,1.87,85.35,2.06,86.54,1.96,45.74,0.48,0
CT0062,PL339629,60.4,0.79,58.99,0.74,56.45,0.76,58.53,0.73,84.02,1.51,1
CT1378,PL330203,36.99,1.13,36.42,1.03,36.65,1.11,38.93,1.01,81.47,1.43,1
CT3369,PL708108,80.97,1.62,79.99,1.71,78.81,1.55,81.74,1.66,76.39,1.42,0
CT3263,PL623886,52.16,0.92,53.26,0.96,54.18,0.91,47.25,0.93,66.94,1.19,1
CT1406,PL232717,53.65,1.17,51.45,1.06,52.85,1.39,53.38,1.05,76.55,1.64,1
CT0969,PL581680,35.74,0.64,32.79,0.52,37.42,0.5,37.14,0.67,85.6,1.59,1
CT2289,PL679518,44.54,0.76,43.17,0.76,44.2,0.95,44.73,0.77,42.73,0.82,0
CT0508,PL103051,48.73,0.63,49.47,0.52,48.7,0.62,46.4,0.62,62.88,1.88,1
CT0627,PL825948,51.94,0.83,51.95,0.93,52.15,0.99,52.27,1.0,63.75,0.84,1
CT3663,PL262002,40.17,0.96,42.54,0.88,40.65,0.85,36.03,0.98,88.79,0.66,1
CT1426,PL950163,37.63,1.54,38.13,1.76,36.28,1.57,38.43,1.55,62.45,1.38,1
CT4406,PL277164,88.36,0.38,87.62,0.42,88.42,0.32,88.78,0.44,76.27,0.75,0
CT2156,PL941047,81.75,0.76,81.68,0.65,83.65,0.79,81.17,0.96,31.28,1.06,0
CT3689,PL945474,84.11,0.78,81.24,0.9,81.76,0.67,84.58,0.81,58.0,1.39,0
CT1421,PL611411,64.01,0.98,66.48,1.06,65.77,0.77,65.13,0.93,81.91,1.39,1
CT2765,PL391126,31.98,1.59,30.53,1.68,32.92,1.48,29.78,1.68,42.87,1.89,1
CT0159,PL258338,63.82,0.7,63.73,0.77,65.96,0.9,63.82,0.73,47.28,0.69,0
CT2496,PL599653,80.25,1.7,81.23,1.52,79.36,1.53,83.07,1.61,49.93,0.91,0
CT0962,PL740053,63.38,0.73,61.83,0.79,63.3,0.57,65.26,0.85,72.98,0.99,1
CT3609,PL628423,62.23,1.89,64.31,1.91,63.55,2.04,58.18,1.7,84.08,1.61,1
CT2437,PL246470,31.44,0.73,33.55,0.73,33.84,0.67,28.34,0.83,88.86,1.97,1
CT1037,PL357218,39.58,1.71,40.09,1.74,42.0,1.82,40.51,1.67,83.77,0.82,1
CT2442,PL633398,82.03,0.83,83.26,0.73,82.33,0.76,83.12,0.75,48.26,1.07,0
CT3640,PL650458,75.02,1.29,74.74,1.21,77.06,1.1,75.07,1.26,77.95,1.99,0
CT1504,PL283675,49.87,0.86,49.42,0.91,49.61,0.76,50.85,0.9,67.11,1.76,1
CT4702,PL723222,83.29,0.52,81.25,0.52,83.15,0.46,85.17,0.49,47.99,0.82,0
CT3790,PL891507,48.27,1.26,49.12,1.06,49.98,1.12,47.53,1.51,31.86,1.33,0
CT2259,PL734379,50.51,1.79,50.35,1.94,50.01,1.76,55.03,1.78,89.45,1.36,1
CT0219,PL502690,49.98,0.41,51.83,0.41,49.43,0.46,49.68,0.36,86.59,1.93,1
CT2229,PL749438,53.65,0.47,51.59,0.45,55.83,0.43,54.33,0.42,75.58,1.56,1
CT2593,PL893583,56.96,1.23,60.29,1.3,55.95,1.34,62.61,1.13,86.73,1.8,1
CT0463,PL250262,33.79,1.36,30.73,1.38,31.39,1.35,30.98,1.34,68.77,0.67,1
CT2625,PL255683,36.19,1.66,36.4,1.75,36.49,1.58,36.85,1.9,57.64,1.73,1
CT0143,PL475713,67.84,1.86,64.74,1.89,69.98,1.78,66.75,1.92,34.39,1.67,0
CT4273,PL565918,48.89,1.35,48.96,1.15,45.84,1.37,46.53,1.36,66.62,0.38,1
CT1997,PL542061,64.89,1.85,65.97,1.8,62.01,1.87,65.85,1.74,61.2,1.27,0
CT1879,PL216953,74.24,0.36,74.68,0.41,72.36,0.47,74.33,0.47,47.59,0.69,0
CT1436,PL762143,60.21,1.35,60.69,1.41,61.0,1.22,59.74,1.26,72.49,1.54,1
CT4459,PL826481,36.34,1.61,38.58,1.57,35.49,1.71,35.04,1.6,84.44,1.21,1
CT3265,PL334627,83.13,1.33,82.01,1.53,84.91,1.45,83.86,1.31,36.11,1.16,0
CT4576,PL806528,82.66,1.3,81.94,1.19,80.56,1.47,83.27,1.33,88.44,1.94,0
CT0850,PL272502,79.35,1.57,79.57,1.64,76.68,1.62,78.57,1.64,70.68,1.38,0
CT1791,PL782705,58.44,0.69,58.43,0.62,57.88,0.78,60.75,0.7,32.87,1.64,0
CT1849,PL222744,32.26,1.41,34.17,1.43,33.4,1.31,33.76,1.38,30.86,0.58,0
CT0817,PL989765,39.89,1.45,39.17,1.41,42.68,1.45,41.07,1.58,71.86,1.58,1
CT3310,PL543031,76.83,0.83,77.53,0.85,79.19,0.8,78.59,0.95,30.2,1.03,0
CT2688,PL191658,74.97,1.48,76.0,1.28,75.15,1.47,75.41,1.46,49.03,0.36,0
CT2353,PL300422,33.73,1.53,32.51,1.44,33.15,1.34,36.17,1.45,54.59,1.57,1
CT3094,PL752184,66.47,0.72,64.26,0.79,66.01,0.84,66.33,0.78,36.05,0.83,0
CT1010,PL906395,56.43,0.54,52.14,0.59,53.82,0.62,53.81,0.49,72.78,1.11,1
CT2554,PL266703,51.52,1.21,50.67,1.29,52.37,1.21,48.77,1.19,81.31,1.88,1
CT1993,PL595518,78.74,1.03,78.52,1.07,83.38,1.1,82.5,0.96,46.32,1.51,0
CT0294,PL659042,77.67,1.03,75.54,0.94,74.12,0.88,78.88,1.1,81.06,1.1,0
CT0841,PL152528,75.45,1.59,78.08,1.45,75.39,1.5,79.42,1.58,32.2,2.0,0
CT0331,PL391999,75.23,0.9,77.03,0.88,74.53,0.92,78.62,1.0,32.31,1.86,0
CT0642,PL767521,58.71,0.95,56.47,0.93,59.05,0.84,62.7,0.99,72.29,1.85,1
CT1043,PL653020,48.28,1.61,51.99,1.64,50.61,1.93,48.23,1.73,66.26,1.77,1
CT2615,PL279785,45.11,1.72,45.42,1.61,45.43,1.77,45.29,1.69,42.24,0.65,0
CT4641,PL799151,64.36,1.05,62.66,1.04,65.84,0.93,66.14,0.98,84.51,1.04,1
CT1180,PL862501,36.81,0.98,34.29,0.95,38.35,1.08,34.45,1.16,53.83,0.58,1
CT2833,PL634670,55.49,1.59,53.96,1.52,53.9,1.54,56.68,1.49,71.74,0.67,1
CT3928,PL302416,70.23,1.74,71.37,1.77,71.14,1.79,67.65,1.68,42.12,1.96,0
CT2844,PL187468,81.43,0.83,79.99,0.75,81.6,1.07,84.58,0.88,43.08,0.66,0
CT4131,PL611603,65.45,1.41,67.88,1.24,64.28,1.55,68.65,1.37,57.29,1.33,0
CT2521,PL990186,52.85,1.82,51.78,1.78,54.54,1.89,53.04,1.81,84.98,0.51,1
CT2424,PL396141,58.33,0.42,57.69,0.45,56.32,0.52,57.32,0.59,78.66,0.83,1
CT4856,PL251094,61.67,1.96,61.45,2.05,65.22,2.04,60.53,1.99,40.1,0.65,0
CT3646,PL155426,47.11,0.73,47.25,0.8,46.69,0.94,47.49,0.9,76.37,1.82,1
CT3936,PL530634,80.25,1.39,80.6,1.49,79.23,1.36,79.76,1.38,66.47,1.22,0
CT1337,PL171907,77.4,0.67,76.98,0.73,79.4,0.72,77.44,0.53,37.49,0.53,0
CT2655,PL134084,69.25,2.0,66.32,1.97,69.29,1.95,68.92,1.91,59.91,1.71,0
CT0207,PL508923,84.69,0.87,85.03,1.0,83.04,0.98,84.21,0.78,89.83,0.83,0
CT1404,PL963021,89.26,1.84,88.6,1.72,89.88,1.93,89.39,1.77,32.8,1.56,0
CT0911,PL906741,77.64,1.39,75.9,1.35,75.24,1.39,76.26,1.33,42.57,0.73,0
CT4806,PL336562,38.67,1.64,38.79,1.59,37.9,1.66,40.19,1.57,59.11,1.14,1
CT1156,PL216421,33.66,1.71,33.42,1.71,33.45,1.61,35.32,1.6,55.72,1.28,1
CT3978,PL600844,80.52,1.08,81.85,1.02,79.97,1.29,81.58,1.13,60.95,0.72,0
CT1009,PL610736,79.23,1.57,77.89,1.6,80.31,1.66,76.92,1.51,80.83,1.11,0
CT4439,PL836265,76.64,0.44,76.49,0.31,79.12,0.42,75.71,0.43,87.93,0.9,1
CT1460,PL255989,74.54,1.09,74.69,0.96,73.58,1.16,74.2,1.26,47.83,1.32,0
CT0191,PL479989,83.4,1.68,84.5,1.56,85.52,1.51,82.57,1.64,58.7,1.03,0
CT0784,PL126790,55.11,0.84,55.72,0.92,54.36,0.94,54.09,0.92,54.97,1.72,0
CT2894,PL997151,42.23,1.34,39.1,1.35,40.43,1.33,40.51,1.59,53.7,1.24,1
CT4818,PL360220,72.45,0.72,72.68,0.64,73.66,0.82,71.83,0.7,47.46,0.58,0
CT3890,PL773222,35.92,1.64,36.61,1.57,37.46,1.69,33.66,1.44,48.46,0.78,1
CT1059,PL151745,51.85,1.06,46.44,1.18,49.83,0.89,55.09,1.14,88.04,0.61,1
CT2760,PL142828,59.83,1.12,57.76,1.12,55.93,1.14,59.66,0.88,60.79,1.86,0
CT4741,PL966792,31.2,0.47,28.86,0.44,29.71,0.35,33.22,0.59,74.7,0.83,1
CT4210,PL624426,36.8,1.8,35.77,1.73,37.6,1.75,38.27,1.83,33.72,1.87,0
CT1022,PL767375,33.94,1.55,34.4,1.51,31.55,1.52,32.97,1.54,75.28,0.83,1
CT0592,PL388790,37.51,1.36,33.27,1.44,37.53,1.39,36.39,1.37,86.83,1.33,1
CT3686,PL321373,84.54,0.8,86.1,0.85,84.31,0.79,85.61,0.76,77.77,0.65,0
CT1078,PL572930,33.03,1.49,31.9,1.31,34.59,1.55,32.29,1.51,69.16,0.7,1
CT4606,PL549076,50.26,1.64,48.58,1.59,50.53,1.75,45.63,1.75,33.32,1.08,0
CT3061,PL652370,43.03,1.0,42.36,0.91,41.16,1.17,42.93,1.11,77.66,1.41,1
CT3025,PL542939,62.0,1.95,59.07,2.16,63.2,1.97,62.33,2.1,53.49,0.56,0
CT2666,PL334386,62.35,1.1,65.66,1.14,59.49,1.24,63.34,1.05,58.34,0.66,0
CT3438,PL117073,71.87,1.74,72.45,1.88,70.9,1.54,67.75,1.77,86.36,1.21,1
CT1608,PL418277,68.53,0.81,68.86,0.84,70.41,0.89,71.16,0.7,63.82,1.62,0
CT1356,PL486858,57.45,1.65,57.13,1.64,56.32,1.74,57.42,1.72,32.55,1.52,0
CT0869,PL520571,71.98,1.63,68.47,1.71,71.84,1.6,73.28,1.59,52.93,1.79,0
CT2755,PL459687,76.61,1.05,77.05,1.11,76.07,1.24,78.13,0.95,50.48,1.48,0
CT3432,PL589066,70.32,1.2,69.43,1.16,68.43,1.08,71.67,1.21,82.46,0.66,1
CT4191,PL962881,49.29,0.55,49.07,0.59,53.58,0.54,52.16,0.59,87.87,1.08,1
